City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,2022-01-30 18:20:42,19.7297,-155.09,74.62,71,40,6.91,scattered clouds
1,Hermanus,ZA,2022-01-30 18:20:43,-34.4187,19.2345,72.81,71,40,17.34,scattered clouds
2,Namatanai,PG,2022-01-30 18:20:43,-3.6667,152.4333,78.55,82,92,3.02,light rain
3,Katherine,AU,2022-01-30 18:20:44,-14.4667,132.2667,79.12,83,99,10.36,overcast clouds
4,Nikolskoye,RU,2022-01-30 18:20:45,59.7035,30.7861,30.7,96,100,7.47,snow
5,Katsuura,JP,2022-01-30 18:20:45,35.1333,140.3,41.02,67,100,12.48,overcast clouds
6,Hobart,AU,2022-01-30 18:20:17,-42.8794,147.3294,57.06,96,2,1.01,clear sky
7,Alofi,NU,2022-01-30 18:20:46,-19.0595,-169.9187,73.29,94,95,2.3,overcast clouds
8,Pauini,BR,2022-01-30 18:20:47,-7.7136,-66.9764,83.32,75,90,2.21,overcast clouds
9,Nautla,MX,2022-01-30 18:20:48,20.2167,-96.7833,67.5,68,2,6.4,clear sky
10,Lompoc,US,2022-01-30 18:17:47,34.6391,-120.4579,70.12,58,0,8.99,clear sky
11,Coffs Harbour,AU,2022-01-30 18:19:29,-30.3,153.1333,72.14,96,100,6.91,overcast clouds
12,Albany,US,2022-01-30 18:18:48,42.6001,-73.9662,21.67,37,42,4.0,scattered clouds
13,San Quintin,MX,2022-01-30 18:20:51,30.4833,-115.95,62.31,49,0,3.6,clear sky
14,Klaksvik,FO,2022-01-30 18:20:52,62.2266,-6.589,38.32,82,100,15.93,overcast clouds
15,Hithadhoo,MV,2022-01-30 18:20:52,-0.6,73.0833,81.97,69,100,8.43,overcast clouds
16,Port Alfred,ZA,2022-01-30 18:20:53,-33.5906,26.891,74.97,86,89,21.14,overcast clouds
17,Paulo Ramos,BR,2022-01-30 18:20:54,-4.2167,-45.1833,84.06,67,75,5.01,broken clouds
18,Busselton,AU,2022-01-30 18:20:55,-33.65,115.3333,64.09,78,3,18.39,clear sky
19,Lorengau,PG,2022-01-30 18:20:55,-2.0226,147.2712,79.23,82,100,10.45,overcast clouds
20,Jamestown,US,2022-01-30 18:16:01,42.097,-79.2353,20.52,51,75,3.0,broken clouds
21,Yingcheng,CN,2022-01-30 18:20:56,30.95,113.55,35.65,76,100,1.03,overcast clouds
22,Port Hedland,AU,2022-01-30 18:20:57,-20.3167,118.5667,82.45,83,52,18.41,broken clouds
23,Wilmington,US,2022-01-30 18:18:38,34.2257,-77.9447,45.86,30,0,8.05,clear sky
24,Mahon,ES,2022-01-30 18:20:58,39.8885,4.2658,50.56,76,0,5.75,clear sky
25,Luderitz,NA,2022-01-30 18:20:59,-26.6481,15.1594,69.71,75,68,10.63,broken clouds
26,Puerto Ayora,EC,2022-01-30 18:20:59,-0.7393,-90.3518,84.16,71,100,8.81,overcast clouds
27,Kapaa,US,2022-01-30 18:21:00,22.0752,-159.319,74.48,70,20,13.8,few clouds
28,Ushuaia,AR,2022-01-30 18:21:01,-54.8,-68.3,46.06,76,75,23.02,light intensity drizzle
29,Te Anau,NZ,2022-01-30 18:21:01,-45.4167,167.7167,53.47,95,16,0.83,few clouds
30,Miri,MY,2022-01-30 18:21:02,4.4148,114.0089,75.34,100,40,3.44,scattered clouds
31,Punta Arenas,CL,2022-01-30 18:20:25,-53.15,-70.9167,53.71,43,75,28.77,broken clouds
32,Cape Town,ZA,2022-01-30 18:16:10,-33.9258,18.4232,72.1,72,0,1.99,clear sky
33,Sakakah,SA,2022-01-30 18:21:04,29.9697,40.2064,54.97,40,63,12.71,broken clouds
34,Rikitea,PF,2022-01-30 18:21:05,-23.1203,-134.9692,76.17,61,59,4.29,broken clouds
35,Bengkulu,ID,2022-01-30 18:21:06,-3.8004,102.2655,75.9,93,100,4.97,moderate rain
36,Port Elizabeth,ZA,2022-01-30 18:21:07,-33.918,25.5701,76.1,85,84,15.7,broken clouds
37,Ilulissat,GL,2022-01-30 18:17:46,69.2167,-51.1,8.62,66,75,17.27,light shower snow
38,Vardo,NO,2022-01-30 18:20:21,70.3705,31.1107,26.35,86,75,20.71,broken clouds
39,Qaanaaq,GL,2022-01-30 18:21:09,77.484,-69.3632,-7.49,71,100,11.43,overcast clouds
40,Jiangyou,CN,2022-01-30 18:21:09,31.7667,104.7167,40.21,76,96,2.17,overcast clouds
41,Vaini,TO,2022-01-30 18:21:10,-21.2,-175.2,80.47,76,100,11.72,overcast clouds
