NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
2, 'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2017', '66', '35', '01', '14200000'
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0321', 'Fresh or chilled vegetables (includes sweet potatoes, excludes potatoes)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '031', 'Fresh or chilled potatoes (excludes sweet)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0310', 'Fresh or chilled potatoes, Irish potatoes (excludes sweet potatoes)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '032', 'Fresh or chilled edible vegetables (excludes potatoes), and dried vegetables', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '033', 'Fruit and nuts, edible, fresh, chilled, or dried', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '033', 'Fruit and nuts, edible, fresh, chilled, or dried', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0331', 'Fresh or chilled citrus fruit', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0332', 'Fresh or chilled edible fruit (excludes citrus)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0332', 'Fresh or chilled edible fruit (excludes citrus)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0333', 'Dried fruits and nuts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0334', 'Fresh or dried nuts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '036', 'Bulbs, live plants, and seeds for sowing, not elsewhere classified', '2017', '20', '7', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0360', 'Bulbs, live plants, and seeds for sowing, not elsewhere classified', '2017', '20', '7', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '039', 'Fresh-cut flowers, plants, and parts of plants, and other agricultural products', '2017', '44', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0391', 'Fresh-cut flowers', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0393', 'Raw cotton not carded or combed', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '041', 'Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0399', 'Unprocessed coffee, tea, sugar, and other agricultural products, not elsewhere classified', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '04', 'Animal feed, eggs, honey, and other products of animal origin', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '04', 'Animal feed, eggs, honey, and other products of animal origin', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '041', 'Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0419', 'Eggs in shell, raw hides and skins, and other products of animal origin, and residues and wastes from the food industries', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0413', 'Bran, sharps, and other residues of cereals or leguminous plants', '2017', '17', '157', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0414', 'Oil cake and other solid residues from the manufacture of vegetable fats or oils', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0419', 'Eggs in shell, raw hides and skins, and other products of animal origin, and residues and wastes from the food industries', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '042', 'Animal feed preparations', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '042', 'Animal feed preparations', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0421', 'Dog or cat food put up for retail sale', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0429', 'Other animal feed preparations (includes complete feeds, premixes, bird seed, fish food, and feed supplements)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0429', 'Other animal feed preparations (includes complete feeds, premixes, bird seed, fish food, and feed supplements)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '05', 'Meat, poultry, fish, seafood, and their preparations', '2012', '666', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '05', 'Meat, poultry, fish, seafood, and their preparations', '2017', '856', '359', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0511', 'Meat fresh, chilled, or frozen (excludes poultry)', '2017', '38', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '051', 'Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked', '2012', '647', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '051', 'Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked', '2017', '856', '359', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0511', 'Meat fresh, chilled, or frozen (excludes poultry)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0512', 'Fresh, chilled, or frozen poultry', '2012', '512', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0512', 'Fresh, chilled, or frozen poultry', '2017', '583', '270', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0513', 'Meat, salted, in brine, dried, or smoked, edible flours and meals, and pig or poultry fat, not rendered', '2017', '0', '77', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '052', 'Fish (excludes live), seafood, and their preparations', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0520', 'Fish (excludes live, seafood, and their preparations)', '2012', '0', '0', '01', '14200000']
